Country,Pays,País
Global,Global,Global
Afghanistan,Afghanistan,Afganistán
Albania,Albanie,Albania
Algeria,Algérie,Argelia
Angola,Angola,Angola
Antigua and Barbuda,Antigua et Barbuda,Antigua y Barbuda
Argentina,Argentine,Argentina
Armenia,Arménie,Armenia
Australia,Australie,Australia
Austria,Autriche,Austria
Azerbaijan,Azerbaïdjan,Azerbaiyán
Bahamas,Bahamas,Bahamas
Bahrain,Bahreïn,Bahrein
Bangladesh,Bangladesh,Bangladesh
Barbados,Barbade,Barbados
Belarus,Biélorussie,Bielorrusia
Belgium,Belgique,Bélgica
Belize,Belize,Belice
Benin,Bénin,Benin
Bhutan,Bhoutan,Bután
Bolivia (Plurinational State of),Bolivie (État plurinational de),Bolivia (Estado Plurinacional de)
Bosnia and Herzegovina,Bosnie-Herzégovine,Bosnia y Herzegovina
Botswana,Botswana,Botswana
Brazil,Brésil,Brasil
Brunei Darussalam,Brunéi Darussalam,Brunei Darussalam
Bulgaria,Bulgarie,Bulgaria
Burkina Faso,Burkina Faso,Burkina Faso
Burundi,Burundi,Burundi
Cambodia,Cambodge,Camboya
Cameroon,Cameroun,Camerún
Canada,Canada,Canadá
Cape Verde,Cap Vert,Cabo Verde
Central African Republic,République centrafricaine,República Centroafricana
Chad,Tchad,Chad
Chile,Chili,Chile
China,Chine,China
Colombia,Colombie,Colombia
Comoros,Comores,Comoras
Congo,Congo,Congo
Costa Rica,Costa Rica,Costa Rica
Croatia,Croatie,Croacia
Cuba,Cuba,Cuba
Cyprus,Chypre,Chipre
Czechia,Tchéquie,República Checa
Democratic People's Republic of Korea,République populaire démocratique de Corée,República Popular Democrática de Corea
Democratic Republic of the Congo,République démocratique du Congo,República Democrática del Congo
Denmark,Danemark,Dinamarca
Djibouti,Djibouti,Djibouti
Dominican Republic,République dominicaine,República Dominicana
Ecuador,Équateur,Ecuador
Egypt,Egypte,Egipto
El Salvador,El Salvador,El Salvador
Equatorial Guinea,Guinée équatoriale,Guinea Ecuatorial
Eritrea,Érythrée,Eritrea
Estonia,Estonie,Estonia
Ethiopia,Éthiopie,Etiopía
Fiji,Fidji,Fiji
Finland,Finlande,Finlandia
France,France,Francia
Gabon,Gabon,Gabón
Gambia,Gambie,Gambia
Georgia,Géorgie,Georgia
Germany,Allemagne,Alemania
Ghana,Ghana,Ghana
Greece,Grèce,Grecia
Grenada,Grenade,Granada
Guatemala,Guatemala,Guatemala
Guinea,Guinée,Guinea
Guinea-Bissau,Guinée-Bissau,Guinea-Bissau
Guyana,Guyana,Guyana
Haiti,Haïti,Haití
Honduras,Honduras,Honduras
Hungary,Hongrie,Hungría
Iceland,Islande,Islandia
India,Inde,India
Indonesia,Indonésie,Indonesia
Iran (Islamic Republic of),Iran (République islamique d '),Irán (República Islámica del)
Iraq,Irak,Iraq
Ireland,Irlande,Irlanda
Israel,Israël,Israel
Italy,Italie,Italia
Ivory Coast,Côte d'Ivoire,Costa de Marfil
Jamaica,Jamaïque,Jamaica
Japan,Japon,Japón
Jordan,Jordanie,Jordania
Kazakhstan,Kazakhstan,Kazajstán
Kenya,Kenya,Kenia
Kiribati,Kiribati,Kiribati
Kuwait,Koweït,Kuwait
Kyrgyzstan,Kirghizistan,Kirguistán
Lao People's Democratic Republic,République démocratique populaire Lao,República Democrática Popular Lao
Latvia,Lettonie,Letonia
Lebanon,Liban,Líbano
Lesotho,Lesotho,Lesotho
Liberia,Libéria,Liberia
Libya,Libye,Libia
Lithuania,Lituanie,Lituania
Luxembourg,Luxembourg,Luxemburgo
Madagascar,Madagascar,Madagascar
Malawi,Malawi,Malawi
Malaysia,Malaisie,Malasia
Maldives,Maldives,Maldivas
Mali,Mali,Mali
Malta,Malte,Malta
Mauritania,Mauritanie,Mauritania
Mauritius,Maurice,Mauricio
Mexico,Mexique,Mexico
Micronesia (Federated States of),Micronésie (États fédérés de),Micronesia (Estados Federados de)
Mongolia,Mongolie,Mongolia
Montenegro,Monténégro,Montenegro
Morocco,Maroc,Marruecos
Mozambique,Mozambique,Mozambique
Myanmar,Myanmar,Myanmar
Namibia,Namibie,Namibia
Nepal,Népal,Nepal
Netherlands,Pays-Bas,Países Bajos
New Zealand,Nouvelle-Zélande,Nueva Zelanda
Nicaragua,Nicaragua,Nicaragua
Niger,Niger,Níger
Nigeria,Nigeria,Nigeria
Norway,Norvège,Noruega
Oman,Oman,Omán
Pakistan,Pakistan,Pakistán
Panama,Panama,Panamá
Papua New Guinea,Papouasie-Nouvelle-Guinée,Papúa Nueva Guinea
Paraguay,Paraguay,Paraguay
Peru,Pérou,Perú
Philippines,Philippines,Filipinas
Poland,Pologne,Polonia
Portugal,Portugal,Portugal
Qatar,Qatar,Qatar
Republic of Korea,République de Corée,República de Corea
Republic of Moldova,République de Moldova,República de Moldova
Romania,Roumanie,Rumania
Russian Federation,Fédération de Russie,Federación de Rusia
Rwanda,Rwanda,Ruanda
Saint Lucia,Sainte-Lucie,Santa Lucía
Saint Vincent and the Grenadines,Saint-Vincent-et-les Grenadines,San Vicente y las Granadinas
Samoa,Samoa,Samoa
Sao Tome and Principe,Sao Tomé et Principe,Santo Tomé y Príncipe
Saudi Arabia,Arabie Saoudite,Arabia Saudita
Senegal,Sénégal,Senegal
Serbia,Serbie,Serbia
Seychelles,Seychelles,Seychelles
Sierra Leone,Sierra Leone,Sierra Leona
Singapore,Singapour,Singapur
Slovakia,Slovaquie,Eslovaquia
Slovenia,Slovénie,Eslovenia
Solomon Islands,Îles Salomon,Islas Salomón
Somalia,Somalie,Somalia
South Africa,Afrique du Sud,Sudáfrica
South Sudan,Soudan du Sud,Sudán del Sur
Spain,Espagne,España
Sri Lanka,Sri Lanka,Sri Lanka
Sudan,Soudan,Sudán
Suriname,Suriname,Surinam
Swaziland,Swaziland,Suazilandia
Sweden,Suède,Suecia
Switzerland,Suisse,Suiza
Syrian Arab Republic,République arabe syrienne,República Árabe Siria
Tajikistan,Tadjikistan,Tayikistán
Thailand,Thaïlande,Tailandia
The former Yugoslav Republic of Macedonia,L'ex-République yougoslave de Macédoine,La ex República Yugoslava de Macedonia
Timor-Leste,Timor-Leste,Timor-Leste
Togo,Togo,Togo
Tonga,Tonga,Tonga
Trinidad and Tobago,Trinité-et-Tobago,Trinidad y Tobago
Tunisia,Tunisie,Túnez
Turkey,Turquie,Turquía
Turkmenistan,Turkménistan,Turkmenistán
Uganda,Ouganda,Uganda
Ukraine,Ukraine,Ucrania
United Arab Emirates,Émirats arabes unis,Emiratos Árabes Unidos
United Kingdom,Royaume-Uni,Reino Unido
United Republic of Tanzania,République-Unie de Tanzanie,República Unida de Tanzania
United States of America,États-Unis d'Amérique,Estados Unidos de América
Uruguay,Uruguay,Uruguay
Uzbekistan,Ouzbékistan,Uzbekistán
Vanuatu,Vanuatu,Vanuatu
Venezuela (Bolivarian Republic of),Venezuela (République bolivarienne du),Venezuela (República Bolivariana de)
Viet Nam,Viet Nam,Vietnam
Yemen,Yémen,Yemen
Zambia,Zambie,Zambia
Zimbabwe,Zimbabwe,Zimbabwe
